Test Time(ms),Current(A),Inlet Temp,Outlet Temp,Thermocouple Temperature,Average Tab Temp,Test Time (s)
7602480,14.0158,27.708546,28.2811732,25.5469,27.9948596,1530.25
7603480,14.0158,27.8190216,28.1970886,25.5326,28.0080551,1531.25
7604480,14.0159,27.7094024,28.5565132,25.5431,28.1329578,1532.25
7605480,14.0159,27.9324946,28.4279506,25.5536,28.1802226,1533.25
7606480,14.0158,27.7151831,28.1979358,25.5857,27.95655945,1534.25
7607480,14.0159,27.6927026,28.3093426,25.5523,28.0010226,1535.25
7608480,14.0159,27.6642273,28.1621416,25.5522,27.91318445,1536.25
7609480,14.0158,28.0517483,28.574728,25.5327,28.31323815,1537.25
7610480,14.0158,27.7222484,28.647799,25.4975,28.1850237,1538.25
7611480,14.0159,28.0905004,28.1773912,25.623,28.1339458,1539.25
7612480,14.0159,27.5700233,28.218904,25.5542,27.89446365,1540.25
7613480,14.0158,27.7130421,28.5169066,25.5774,28.11497435,1541.25
7614480,14.0159,28.0091424,28.306801,25.5415,28.1579717,1542.25
7615480,14.0159,27.6436737,28.2631702,25.5318,27.95342195,1543.25
7616480,14.0159,27.9551892,28.2536392,25.5644,28.1044142,1544.25
7617480,14.0158,27.9539046,28.4103712,25.5738,28.1821379,1545.25
7618480,14.016,27.6918462,28.4287978,25.5734,28.060322,1546.25
7619480,14.0159,27.7689222,28.2934576,25.6026,28.0311899,1547.25
7620480,14.0157,28.0900722,28.6782982,25.5995,28.3841852,1548.25
7621480,14.0159,27.5745194,28.5065284,25.5903,28.0405239,1549.25
7622480,14.0159,27.5743053,28.427527,25.5877,28.00091615,1550.25
7623480,14.0158,27.7569326,28.4226556,25.5972,28.0897941,1551.25
7624480,14.0157,27.6702221,28.3769068,25.5099,28.02356445,1552.25
7625480,14.0157,27.9200768,28.3411126,25.6206,28.1305947,1553.25
7626480,14.0159,27.7914027,28.3616572,25.5851,28.07652995,1554.25
7627480,14.0158,27.9121551,28.408465,25.5376,28.16031005,1555.25
7628480,14.0159,27.597214,28.4362108,25.6206,28.0167124,1556.25
7629480,14.0157,27.8318676,28.3447132,25.5891,28.0882904,1557.25
